file,status,max_workers,pool_type,transcription_start,transcription_end,transcription_time,analysis_start,analysis_end,analysis_time,evaluation_start,evaluation_end,evaluation_time
F1.json,success,4,ThreadPoolExecutor,8/13/2025 1:29,8/13/2025 1:31,69.42,8/13/2025 1:31,8/13/2025 1:32,116.08,8/13/2025 1:32,8/13/2025 1:32,1.76
Audio-test.json,success,4,ThreadPoolExecutor,8/13/2025 1:29,8/13/2025 1:30,20.68,8/13/2025 1:31,8/13/2025 1:31,24.92,8/13/2025 1:32,8/13/2025 1:32,1.8
